Fecha,Refineria de Barranca ($/Kg),Reficar ($/Kg),Apiay ($/Kg),Dina ($/Kg),Cusiana  ($/Kg),Cupiagua ($/Kg),Importado ECP ($/Kg)
2003-01-15,632.4636364,687.9201244,632.4636364,,,,
2003-02-15,632.4636364,687.9201244,632.4636364,,,,
2003-03-15,632.4636364,687.9201244,632.4636364,,,,
2003-04-15,632.4636364,687.9201244,632.4636364,,,,
2003-05-15,632.4636364,687.9201244,632.4636364,,,,
2003-06-15,632.4636364,687.9201244,632.4636364,,,,
2003-07-15,632.4636364,687.9201244,632.4636364,,,,
2003-08-15,632.4636364,687.9201244,632.4636364,,,,
2003-09-15,632.4636364,687.9201244,632.4636364,,,,
2003-10-15,632.4636364,687.9201244,632.4636364,,,,
2003-11-15,632.4636364,687.9201244,632.4636364,,,,
2003-12-15,632.4636364,687.9201244,632.4636364,,,,
2004-01-15,632.4727273,687.9300124,632.4727273,,,,
2004-02-15,632.4727273,687.9300124,632.4727273,,,,
2004-03-15,577.95,628.6265534,577.95,,,,
2004-04-15,639.3272727,695.3855869,639.3272727,,,,
2004-05-15,639.3272727,695.3855869,639.3272727,,,,
2004-06-15,639.3272727,695.3855869,639.3272727,,,,
2004-07-15,639.3272727,695.3855869,639.3272727,,,,
2004-08-15,639.3272727,695.3855869,639.3272727,,,,
2004-09-15,639.3272727,695.3855869,639.3272727,,,,
2004-10-15,639.3272727,695.3855869,639.3272727,,,,
2004-11-15,639.3272727,695.3855869,639.3272727,,,,
2004-12-15,639.3272727,695.3855869,639.3272727,,,,
2005-01-15,639.3272727,695.3855869,639.3272727,,,,
2005-02-15,639.3272727,695.3855869,639.3272727,,,,
2005-03-15,669.5227273,728.228678,669.5227273,,,,
2005-04-15,669.5227273,728.228678,669.5227273,,,,
2005-05-15,669.5227273,728.228678,669.5227273,,,,
2005-06-15,669.5227273,728.228678,669.5227273,,,,
2005-07-15,669.5227273,728.228678,669.5227273,,,,
2005-08-15,669.5227273,728.228678,669.5227273,,,,
2005-09-15,669.5227273,728.228678,669.5227273,,,,
2005-10-15,669.5227273,728.228678,669.5227273,,,,
2005-11-15,669.5227273,728.228678,669.5227273,,,,
2005-12-15,669.5227273,728.228678,669.5227273,,,,
2006-01-15,669.5227273,728.228678,669.5227273,,,,
2006-02-15,669.5227273,728.228678,669.5227273,,,,
2006-03-15,757.0293477,823.4081662,757.0293477,,,,
2006-04-15,757.0293477,823.4081662,757.0293477,,,,
2006-05-15,757.0293477,823.4081662,757.0293477,,,,
2006-06-15,757.0293477,823.4081662,757.0293477,,,,
2006-07-15,757.0293477,823.4081662,757.0293477,,,,
2006-08-15,757.0293477,823.4081662,757.0293477,,,,
2006-09-15,794.8772727,864.5747216,794.8772727,,,,
2006-10-15,794.8772727,864.5747216,794.8772727,,,,
